code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
KEN,Kenya,2008,142,2.364105432,4,3.621,5,1.504,1,2.24,3,2.021,3,5,5,4,5,4.25,5,4,5,3.25,4,3.5,4,1.004,1,2.8024,5,1.526,5,2.169,5,1.803,3,1.103,1,2.923807984,4,1.057411521,3,1,1,1.007,3,2,2,1,1,1,1,2.049402972,4,2.817082353,5,2.094668277,5
KGZ,Kyrgyz Republic,2008,143,2.367895928,4,3.489,5,2.5,3,3.918,4,3.46,5,4,3,4,5,1,1,4,5,2.75,3,3,3,1.051,2,1.3568,3,1,1,1,1,1.788,3,1.304,2,5,5,1.19263655,3,1.67,5,1.014,4,3,4,1,1,1,1,2.286700568,5,2.729076471,5,2.006441224,5
KHM,Cambodia,2008,94,2.012881994,3,3.16,4,1.5,1,2.345,3,1.601,2,4,3,2,2,1.5,4,5,5,3.75,5,3,3,1.073,3,1.0152,2,1,1,1,1,2.171,4,2.335,5,2.186466888,3,1.109983757,3,1,1,1.043,4,2,2,1,1,1,1,1.991816767,3,2.525452941,4,1.40257649,2
KOR,South Korea,2008,44,1.721512859,2,2.474,3,1.966,2,1.42,1,1.775,3,1,1,2,2,1,1,1,1,1.75,2,1.5,1,2.728,5,1.1652,3,1,1,1,1,2.099,4,3.153,5,2.674328221,3,3.228930818,5,1.405,5,1.001,1,3,4,1.375,5,1,1,2.247673464,5,1.489982353,1,1.638285024,4
XKX,Kosovo,2008,76,1.946519318,3,2.296,2,3.005,4,3.074,4,1.522,2,4,3,3,4,2,5,3,3,4,5,1,1,1,1,2.0164,4,1,1,1,1,1.008,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1.530352941,1,2.317582353,3,1.805152979,4
KWT,Kuwait,2008,26,1.59117632,2,1.5,1,2.344,2,1.905,2,2.202,4,2,1,2,2,1,1,1,1,2.25,2,2,2,3.129,5,1.1844,3,1,1,1,1,2.395,5,1.777,4,1.470017954,2,1.22981106,4,1,1,1.01,3,2,2,1.05,4,1,1,1.778321711,2,1.651964706,1,1.407165862,3
LAO,Laos,2008,63,1.860159846,2,1.705,1,2.5,3,3.309,4,1.554,2,4,3,2,2,1,1,2,1,2.75,3,3,3,1.009,2,1.004,2,1.053,3,2.051,5,1.149,1,1.768,4,2.87381486,4,1.042178771,2,1,1,1.055,4,2,2,1,1,1,1,1.866245061,3,2.080617647,2,1.619592593,3
LBN,Lebanon,2008,148,2.596043765,4,3.155,4,3.025,4,2.46,3,2.013,3,4,3,5,5,1,1,2,1,3.75,5,3,3,1.048,2,2.908,5,1.211,4,2.644,5,2.228,4,3.577,5,3.8,4,1.18911707,3,1,1,1.569,5,5,5,1,1,1,1,2.345491248,5,2.485617647,4,2.962969404,5
LBR,Liberia,2008,89,1.988827098,3,3.005,4,3.5,5,2.223,3,1.229,1,4,3,2,2,1.5,4,3,3,2.75,3,3,3,1,1,1.0308,2,1.789,5,1,1,1.105,1,1.077,1,5,5,1,1,1,1,1.83,5,2,2,1,1,1,1,2.021411765,4,2.381635294,3,1.483890499,3
LBY,Libya,2008,103,2.067938032,3,3.185,4,2.5,3,2.131,2,2.82,5,3,2,2,2,1,1,3,3,2.75,3,3,3,1.078,3,1.0616,3,1,1,1,1,1.449,2,2.944,5,2.499789967,3,2.526299587,5,2.253,5,1.01,3,3,4,1,1,1,1,2.31055757,5,2.300064706,3,1.603864734,3
